Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-11-06,2349.43,2350.98,2337.84,2342.79,65644545
2012-11-07,2347.41,2353.23,2321.61,2325.15,29179595
2012-11-08,2324.58,2338.06,2317.51,2338.06,26163222
2012-11-09,2331.55,2333.16,2306.35,2323.97,28842867
2012-11-12,2319.92,2343.61,2318.8,2335.02,26064603
2012-11-13,2333.58,2354.3,2325.13,2354.3,30346618
2012-11-14,2355.67,2383.38,2349.43,2366.77,51104486
2012-11-15,2360.33,2382.29,2354.76,2371.77,44780508
2012-11-16,2373.12,2383.53,2367.74,2367.74,36731026
2012-11-19,2379.67,2409.8,2377.8,2404.36,33118925
2012-11-20,2404.86,2407.14,2389.52,2404.88,29134454
2012-11-21,2401.23,2404.31,2381.43,2385.95,20967390
2012-11-22,2386.18,2392.36,2374.31,2374.31,18981145
2012-11-23,2382.08,2398.39,2370.15,2398.39,23345856
2012-11-26,2398.63,2413.28,2388.54,2405.82,24874923
2012-11-27,2421.54,2423.98,2400.09,2407.06,37168637
2012-11-28,2396.9,2407.42,2389.72,2401.54,43369565
2012-11-29,2415.44,2424.47,2410.79,2410.79,28037478
2012-11-30,2413.43,2421.54,2404.34,2421.54,49033084
2012-12-03,2419.92,2447.09,2419.92,2442.58,28685992
2012-12-04,2438.88,2466.85,2436.62,2457.52,24526350
2012-12-05,2471.17,2481.51,2457.74,2468.85,37739394
2012-12-06,2475.1,2486.42,2461.77,2485.44,36933841
2012-12-07,2483.94,2484.23,2450.74,2450.74,26182945
2012-12-10,2450.99,2476.53,2448.64,2476.53,29673359
2012-12-11,2480.06,2512.64,2478.83,2512.64,52253005
2012-12-12,2519.53,2528.28,2502.27,2525.4,55185993
2012-12-13,2527.39,2529.86,2507.24,2518.8,21971345
2012-12-14,2520.97,2536.8,2513.66,2536.8,36748511
2012-12-17,2532.75,2551.53,2527.73,2551.53,47507226
2012-12-18,2558.71,2575.81,2555.4,2575.81,48074316
2012-12-19,2578.06,2607.08,2578.06,2602.51,103554678
2012-12-20,2587.03,2609.06,2583.67,2593.73,80548382
2012-12-21,2578.19,2584.34,2554.4,2583.06,107254873
2012-12-27,2581.96,2613.33,2577.79,2600.67,44735075
2012-12-28,2613.76,2618.06,2582.98,2582.98,50102327
2013-01-02,2618.86,2634.18,2614.16,2626.21,28243538
2013-01-03,2617.93,2628.36,2609.11,2628.36,39118699
2013-01-04,2615.09,2617.13,2592.47,2601.73,64091407
2013-01-07,2600.21,2602.15,2572.42,2578.48,23152257
2013-01-08,2571.61,2590.51,2555.12,2562.63,34913834
2013-01-09,2564.38,2570.15,2551.21,2567.59,34702753
2013-01-10,2572.11,2587.5,2550.52,2573.62,37693085
2013-01-11,2573.78,2575.5,2551.92,2557.93,21522782
2013-01-14,2567.29,2579.96,2554.54,2560.14,22636612
2013-01-15,2549.83,2554.19,2526.39,2532.42,25383984
2013-01-16,2524.36,2565.15,2520.28,2565.15,37042412
2013-01-17,2563.8,2585.63,2557.35,2567.16,40944530
2013-01-18,2584.56,2584.99,2563.1,2572.14,20446647
2013-01-21,2570.44,2578.18,2564.17,2573.67,15196349
2013-01-22,2581.16,2584.11,2557.5,2566.6,19423454
